id,place_name,city,description,image_url,time,distance,price,age,lung,motion,sight,r_r,a_r,h_r,m_r,n_r,s_r,c_r,e_r
61,Portobello Road Market ,London," One of Londonâ€™s busiest and most colourful places is the Portobello Road Market, located in Notting Hill in the west part of London. The market has 5 different sections- antiques, fashion & clothing, second-hand goods, fruits & vegetables, and household essentials. Different sections are open at different days of the week, with Saturday being the only day with all 5 sections open. ",https://www.holidify.com/images/cmsuploads/square/PortobelloRoadMarket_20190818125247.jpg,3.6,2.2,3400,1,0,1,1,2.1,2.7,4.1,2.3,4,2,9.3,7
62,Baker Street ,London," Named after William Baker who laid out the design of this street, Baker Street is a famous 18th century street. It is located in the City of Westminster. Once an uptown residential dwelling, Baker Street is now a mostly commercial area. ",https://www.holidify.com/images/cmsuploads/square/BakerStreet_20190818124907.jpg,5,3.1,2500,0,1,1,0,2.9,5.4,4.3,9.3,2.9,4.7,5.6,8.1
63,The O2 ,London," A total entertainment hub, the O2, located in the Southeast part of London is a large space with hosts of restaurants, exhibition spaces, music club, and the United Kingdomâ€™s second largest indoor arena, the O2 Arena. ",https://www.holidify.com/images/cmsuploads/square/The_O2_Arena2C_entrance_20190820133652.jpg,2.3,1.3,400,1,0,1,1,2.5,5.2,6.5,2.5,3.5,7.8,3.1,3.3
64,"Chinatown, London ",London," A colourful and flavoursome mix of the offerings of authentic Chinese culture, Londonâ€™s Chinatown, located in the West End part of London in Soho, is a busy and bustling marketplace with a high concentration of East Asian diaspora. ",https://www.holidify.com/images/cmsuploads/square/Chinatown_20190818123506.jpg,4.3,8.2,2300,1,0,1,0,5.9,7,3.4,3.2,3,9.1,8.9,6.6
65,Hampton Court Palace ,London," Perched along the borough of Richmond along the River Thames in the central part of London is the famous and royally magnificent Hampton Court Palace. Split into Tudor Palace and the Baroque, with gardens, playground, and an art gallery, the royalty of the place is not lost on its visitors.  ",https://www.holidify.com/images/cmsuploads/square/HamptonCourtPalace_20190818122205.jpg,3.4,5.8,3800,-1,1,0,0,3.8,6.6,3,2.2,7.9,4.6,6.3,6.8
66,Electric Avenue ,London," A 19th century market street, the Electric Avenue is known to be the first street to have been lit with electricity. Located in Brixton, it is a great shopping destination to buy electronics and gadgets such as cameras, mobile phones, laptops and such and is also immortalised by Eddy Grantâ€™s 1982 Reggae-inspired hit single by the same name. ",https://www.holidify.com/images/cmsuploads/square/ElectricAvenue_20190818121516.jpg,2.4,8.3,1500,1,1,0,0,6.5,5.6,6.2,7.1,1.7,3.8,3.7,5.5
67,Leicester Square ,London," Located in the heart and center of West End, London, and built in 1670, Leicester Square is the one-stop entertainment hub for all your needs. Experience the best of shows and become bedazzled by the star-studded red carpet events at venues in the area. ",https://www.holidify.com/images/cmsuploads/square/LeicesterSquare_20190818120748.jpg,3.5,3.3,3400,0,1,0,1,5.8,3.5,1.6,8.8,2.3,4.2,2.1,6.7
68,Platform 9 and 3/4 ,London," In the fictional yet captivatingly magical world of Harry Potter, Platform 9 and Â_ signifies the mystical train platform between the ordinary world platforms 9 and 10, through which young wizards and witches could jump over to hop aboard the Hogwarts Express to reach the Hogwarts school of Witchcraft and Wizardry. ",https://www.holidify.com/images/cmsuploads/square/Kings_Cross_Platform_92C75_20190822173407.jpg,5.7,4.1,2400,1,1,0,0,7.1,8.7,7.3,2.3,4.3,5,5.6,8.7
69,Piccadilly Circus ,London," Named after the house of a tailor Roger Biker who became famous for selling piccadils, the Piccadilly Circus, originally called the Piccadilly House, is not a circus. It used to be a circle or ring-shaped public area but has become square shaped over time.Piccadilly House was the residence of Roger Biker, who used to make Piccadils, which are stiff-neck frilled collars worn by the gentrified in the 17th century. ",https://www.holidify.com/images/cmsuploads/square/PiccadillyCircus_20190818113555.jpg,3.7,7.2,2800,0,0,0,1,4.5,5.8,4,5.3,5.3,3.8,5.7,4.4
70,Shoreditch ,London," Located in the East End of London, Shoreditch is a famous suburban dwelling and tourist attraction, for it has a great variety of happening and interesting pubs and restaurants. The area has an urbane and spirited feel to it, with walls covered in creative graffiti designs, and the area links to Shoreditch Church, Shoreditch High Street, Brick Lane, and Boxpark. ",https://www.holidify.com/images/cmsuploads/square/3810142_cb7bacff_1024x1024_20190820162041.jpg,4.2,3.8,2600,1,0,1,0,7.1,4.3,4.6,2,6.1,1.6,2.1,2.5
71,Bond Street ,London," If shopping from famous brands is your thing and you fancy going to classy places to wine and dine, then your visit to London would be incomplete without a visit to Bond Street. Situated in Mayfair, this place is quintessentially British, upmarket, and the â€˜itâ€™ place you should definitely be headed to when in town for an exquisite experience. ",https://www.holidify.com/images/cmsuploads/square/BondStreet_20190818112435.jpg,4.8,8.9,600,0,1,1,1,7.5,7.3,4.5,3.4,7.2,8.9,6.4,8
72,Trafalgar Square ,London," A central and prime location in the city, Trafalgar Square is located in the city of Westminster and is a public square with many cultural spaces, museums and galleries around the square. Distances to other places are measured from Trafalgar Square, which was initially designed by famous architect John Nash in the 1820s. ",https://www.holidify.com/images/cmsuploads/square/TrafalgarSquare_20190818105826.jpg,3.7,3.5,1500,1,0,0,1,4.7,2.8,4,6.6,2.6,7.6,6.9,7.5
73,Thames Cruise ,London," Cruising through the middle of the city to gaze at and take in the beauty and bounty of London is the 346 km long Thames river, offering the famous and the many Thames Cruises. One gets to admire a number of exemplary sights along the way, covering almost 80 islands and 200 bridges. ",https://www.holidify.com/images/cmsuploads/square/RiverThames_20190818093838.jpg,5.3,3.6,2500,0,1,0,1,6.8,7.6,2.9,3.2,3.9,8.3,7.8,8
74,Kew Gardens ,London," A World Heritage Site, Londonâ€™s Kew Gardens is famous for its sprawling landscape and an impressive collection of flora and fauna. It is home to the worldâ€™s most diverse and enchanting species of flora, spread over 121 hectares, and in existence for more than 250 years. ",https://www.holidify.com/images/cmsuploads/square/KewGardens_20190818105110.jpg,5.5,3.1,2000,0,0,0,1,7.5,4.2,8.3,5.8,2.7,5.8,9.3,7.2
75,Natural History Museum ,London," The Natural History Museum, located in South Kensington, is a world-famous museum that houses approximately 80 million life and earth science specimens within five prime collections: botany, entomology, mineralogy, palaeontology, and zoology. It welcomes more than 5 million visitors each year. ",https://www.holidify.com/images/cmsuploads/square/MuseumofNaturalHistory_20190818103008.jpg,5.9,6.6,200,1,1,1,1,3.6,6.4,8,8.4,5.1,3.3,4.2,8
76,Oxford Street ,London," One of the busiest streets not only in the city but worldwide, the Oxford Street is known to be a famous shopping destination, with over 500 brand stores and a footfall of around 200 million annually. ",https://www.holidify.com/images/cmsuploads/square/OxfordStreet_20190818104110.jpg,2.9,8.7,400,1,1,0,1,6.7,6.9,4.8,9.1,4.6,7,3,3.6
77,Covent Garden ,London," A square in the City of Westminster, London, Covent Gardens was a residential area back in the 1630s and the main fruits and vegetables market of the city for more than 300 years. The Covent Garden Market operated at the place for many years before it got moved to become a bigger market at Nine Elms, Wandsworth, south of the River Thames. ",https://www.holidify.com/images/cmsuploads/square/Covent_Garden_Station_London_in_1998_20190826130624.jpg,3.6,2.2,2900,-1,0,1,0,2.1,8.8,3,3.4,8.1,5.1,8.1,5.5
78,Hampstead Heath ,London," An expansive green open and recreational space spanning across 790 acres, Hampstead is one of the most popular heaths amongst Londoners. Not only is it a large beautiful open space, it is also home to a number of wildlife species and is also a national Zoo, and a Site of Metropolitan Importance for Nature Conservation.  ",https://www.holidify.com/images/cmsuploads/square/HampsteadHeath_20190629112805.jpg,4.2,3.4,2200,-1,0,1,0,4.5,8.7,1.6,7.2,8.5,7.8,8.3,8.6
79,Soho ,London," Nestled in Westminster, Soho has transitioned from being a farmland in the 16th century to being an entertainment hub since the late 19th century in London. A go-to place in Central London, this place is an entanglement of cultures and history along with food, music, leisure and extravaganza. With a history dating back to the 17th century and for being popular in being soiled in sex, drugs and all sorts of notorious acts, Soho is now a more up-market and prominent place for people to have a good time. ",https://www.holidify.com/images/cmsuploads/square/Soho_20190629114005.jpg,2.3,4.6,2700,1,1,1,0,1.9,7.3,4.2,4.2,1.8,3.6,6.3,5.4
80,Camden Town ,London," An upbeat and vibrant mix of shopping, great eateries, pubs and live shows, Camden Town is a perfect place to not only enjoy on the weekends, but even after office hours to grab a drink and relax. Situated in Northwest London, even though itâ€™s a residential area, it has become a great hub for people to meet and have a gala time. ",https://www.holidify.com/images/cmsuploads/square/CamdenTown_20190629114837.jpg,4.8,4.1,1600,0,0,0,1,4.6,3.6,2.1,3.1,2.1,4.5,3.5,9.1
81,London Dungeon ,London," Located along Londonâ€™s South Bank, London Dungeon is a themed thrilling attraction site and one of the 6 dungeons in the whole of UK, amongst others around the world. The place recreates the most horrible, gruesome and grotesque events from the capitalâ€™s history in a black comedy or gallows humour style. ",https://www.holidify.com/images/cmsuploads/square/LondonDungeon_20190629120440.jpg,3,7.8,1700,1,1,0,0,7.7,7.1,3.7,1.9,3.6,2.8,2.9,8.9
82,"Madame Tussauds Wax Museum, London ",London," Since its inception in 1835, Madame Tussauds has been leaving people starry-eyed with its wide array of wax figures of famous personalities from around the world, including famed and popular movie characters, YouTube artists, revolutionaries, and even controversial figures of people like Adolf Hitler. Started by Marie Tussauds who used to sculpt faces and figures from wax from a tender age of 6, this place is a high-rated and highly loved tourist attraction in London. ",https://www.holidify.com/images/cmsuploads/square/MadameTussauds_20190629121139.jpg,3.3,2.9,1400,0,0,0,0,4.3,8.7,4,7.2,6.8,2.9,5.8,6.3
83,Churchill War Rooms ,London," A historical underground war room used during World War II, The Churchill Museum is a treasury of the life and legacy of the former Prime Minister of Britain, Sir Winston Leonard Spencer-Churchill. A writer, statesman, war veteran, and writer, Churchill successfully led Britain to victory during World War II when he was serving as the Prime Minister. Churchill War rooms were the hideout place throughout the time of the war. The place is the only one in the world dedicated truly and only to him and his contributions during World War II. ",https://www.holidify.com/images/cmsuploads/square/ChurchillWarRooms_20190629131825.jpg,5.7,1.9,3400,-1,1,0,0,3.1,9.5,6.2,9.3,4.6,4.3,6.4,5.3
84,Tower of London ,London," A royal fortress and a World Heritage Site which is also famous for being an infamous prison back in the day, the Tower of London, founded in 1066 and located in the heart of the city, is a majestic fortress, with a history dating back to centuries before the present day. Treat your eyes to the world-famous and priceless jewels, archaic yet riveting architecture, and to a clear view of the River Thames on a day trip to this Tower. ",https://www.holidify.com/images/cmsuploads/square/TowerofLondon_20190629132814.jpg,4.3,2.4,3000,1,1,0,1,7.7,6.6,1.7,6.1,9.1,4.4,8,2.7
85,St Paul's Ruins ,Macau," Standing adjacent to the famous Mount Fortress and Macao Museum, St Paul's Ruins are the ruins of a 17th-century Catholic church complex, in the form of a front granite facade and grand stone staircase of 68 steps. One of Macaoâ€™s most renowned landmarks, it is one of the Seven Wonders of Portuguese Origin in the World. ","https://www.holidify.com/images/cmsuploads/square/St_Pauls_Ruins,_Macau_20190828173340.jpg",5.9,1.3,600,0,1,1,1,5.5,4.4,2.1,4.8,4.4,2.9,2.9,3.6
86,Senado Square ,Macau," Senado Square in Macau, China is a paved public square connecting Largo do Sao Domingos at one end and Avenida de Almeida Ribeiro on the other. Also known as the Senate Square, the triangular-shaped square is part of the Historic Center of Macau in the UNESCO World Heritage List. ",https://www.holidify.com/images/cmsuploads/square/800px-Macau_Senate_Square_at_Night_20200121191627.jpg,2.5,4.8,300,1,1,0,1,1.9,3.8,5.3,1.6,3.5,3.1,7.3,6.5
87,The Venetian Macao ,Macau," Located on the Cotai Strip, the Venetian Macao is a luxury hotel and casino resort, popular as the largest casino in the world. Also the largest single structure hotel building in Asia, this Venice themed attraction is visited by every tourist coming to Macau. ",https://www.holidify.com/images/cmsuploads/square/46847368844_d88032ffe3_k_20190828170547.jpg,3.4,3.9,1700,-1,1,0,0,9.3,2.7,4.1,7.8,2.8,1.8,6.9,3.5
88,A-Ma Temple ,Macau, A-Ma Temple located in Sao Lourenco is said to be the oldest temple in Macau. It is dedicated to the Chinese goddess of sea Mazu. It is believed that the name of Macao city is derived from this temple.  ,https://www.holidify.com/images/cmsuploads/square/2840613536_f6870df916_b_20190718154213.jpg,5,5.4,1600,0,1,1,0,8.3,5.6,2.3,1.7,8.7,6.1,5.7,6.7
